Geneid	17-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	1
ENSRNOG00000058808	0
ENSRNOG00000061316	5
ENSRNOG00000050129	0
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	1
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	4516
ENSRNOG00000051899	5
ENSRNOG00000014330	3226
ENSRNOG00000049505	77
ENSRNOG00000014916	855
ENSRNOG00000014996	178
ENSRNOG00000015239	136
ENSRNOG00000055508	1
ENSRNOG00000053710	0
ENSRNOG00000015552	740
ENSRNOG00000016041	4
ENSRNOG00000016054	1094
ENSRNOG00000016381	216
ENSRNOG00000054005	0
ENSRNOG00000059137	0
ENSRNOG00000013160	1303
ENSRNOG00000052788	0
ENSRNOG00000023549	227
ENSRNOG00000031859	0
ENSRNOG00000013351	3970
ENSRNOG00000061755	0
ENSRNOG00000053182	0
ENSRNOG00000042741	17
ENSRNOG00000014258	54
ENSRNOG00000057302	0
ENSRNOG00000014290	982
ENSRNOG00000041566	0
ENSRNOG00000014431	8
ENSRNOG00000014450	1297
ENSRNOG00000014852	211
ENSRNOG00000052274	0
ENSRNOG00000040242	93
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	1756
ENSRNOG00000014902	29
ENSRNOG00000014908	498
ENSRNOG00000036310	0
ENSRNOG00000025587	65
ENSRNOG00000042705	1
ENSRNOG00000043188	0
ENSRNOG00000015217	392
ENSRNOG00000015473	91
ENSRNOG00000015551	302
ENSRNOG00000015660	368
ENSRNOG00000046983	125
ENSRNOG00000016624	4
ENSRNOG00000010753	803
ENSRNOG00000011015	7705
ENSRNOG00000011399	0
ENSRNOG00000011411	161
ENSRNOG00000011540	928
ENSRNOG00000012092	0
ENSRNOG00000012103	34
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	10
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	15
ENSRNOG00000055836	1
ENSRNOG00000060657	3
ENSRNOG00000059898	6
ENSRNOG00000055789	3
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	484
ENSRNOG00000055972	0
ENSRNOG00000060021	7
ENSRNOG00000060610	0
ENSRNOG00000060972	959
ENSRNOG00000051450	281
ENSRNOG00000059224	480
ENSRNOG00000055142	10
ENSRNOG00000052189	1
ENSRNOG00000053331	2
ENSRNOG00000053347	252
ENSRNOG00000059393	0
ENSRNOG00000060603	345
ENSRNOG00000053735	51
ENSRNOG00000053184	0
ENSRNOG00000011460	1472
ENSRNOG00000025799	0
ENSRNOG00000011994	49
ENSRNOG00000049517	228
ENSRNOG00000058088	0
ENSRNOG00000054373	0
ENSRNOG00000012057	0
ENSRNOG00000053291	1
ENSRNOG00000012074	598
ENSRNOG00000012259	18
ENSRNOG00000012286	1
ENSRNOG00000057719	0
ENSRNOG00000012311	44
ENSRNOG00000012322	107
ENSRNOG00000031700	661
ENSRNOG00000054452	0
ENSRNOG00000012701	997
ENSRNOG00000053505	0
ENSRNOG00000058050	2057
ENSRNOG00000013436	337
ENSRNOG00000058518	0
ENSRNOG00000053617	0
ENSRNOG00000013969	1794
ENSRNOG00000055858	10
ENSRNOG00000014531	1702
ENSRNOG00000014907	2
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	1
ENSRNOG00000055971	0
ENSRNOG00000047605	2037
ENSRNOG00000046617	38
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	147
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	143
ENSRNOG00000030796	0
ENSRNOG00000051380	2
ENSRNOG00000011720	458
ENSRNOG00000033517	47
ENSRNOG00000039955	1
ENSRNOG00000050801	0
ENSRNOG00000049569	2
ENSRNOG00000047783	480
ENSRNOG00000011855	0
ENSRNOG00000053931	0
ENSRNOG00000026462	3
ENSRNOG00000056218	0
ENSRNOG00000047821	0
ENSRNOG00000012346	1662
ENSRNOG00000013202	240
ENSRNOG00000055111	7
ENSRNOG00000054921	0
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	29
ENSRNOG00000013422	862
ENSRNOG00000013791	38
ENSRNOG00000053913	0
ENSRNOG00000013994	99
ENSRNOG00000015036	154
ENSRNOG00000015321	353
ENSRNOG00000015670	665
ENSRNOG00000026096	0
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	9
ENSRNOG00000039865	0
ENSRNOG00000016371	353
ENSRNOG00000060376	10
ENSRNOG00000016411	1004
ENSRNOG00000057952	2
ENSRNOG00000061678	3
ENSRNOG00000054517	2
ENSRNOG00000016627	60
ENSRNOG00000048248	0
ENSRNOG00000016700	0
ENSRNOG00000011114	792
ENSRNOG00000011161	245
ENSRNOG00000051597	0
ENSRNOG00000057722	0
ENSRNOG00000011815	664
ENSRNOG00000059690	1
ENSRNOG00000051379	0
ENSRNOG00000059251	0
ENSRNOG00000061761	0
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	4
ENSRNOG00000052999	13
ENSRNOG00000048976	3
ENSRNOG00000048796	0
ENSRNOG00000054246	15
ENSRNOG00000012122	672
ENSRNOG00000062105	1
ENSRNOG00000062163	1
ENSRNOG00000062138	2
ENSRNOG00000012609	11
ENSRNOG00000058582	0
ENSRNOG00000029608	591
ENSRNOG00000052712	1
ENSRNOG00000057890	3
ENSRNOG00000056670	0
ENSRNOG00000013323	251
ENSRNOG00000021478	405
ENSRNOG00000021442	134
ENSRNOG00000013364	93
ENSRNOG00000014004	2289
ENSRNOG00000014190	240
ENSRNOG00000014240	48
ENSRNOG00000042944	1
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	23
ENSRNOG00000011568	351
ENSRNOG00000011588	848
ENSRNOG00000011622	546
ENSRNOG00000054753	1
ENSRNOG00000042309	2817
ENSRNOG00000012324	1905
ENSRNOG00000061741	22
ENSRNOG00000054845	0
ENSRNOG00000023407	18
ENSRNOG00000023387	0
ENSRNOG00000012581	2
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	37
ENSRNOG00000028357	91
ENSRNOG00000012775	583
ENSRNOG00000013331	5397
ENSRNOG00000014485	533
ENSRNOG00000014721	7
ENSRNOG00000039776	1110
ENSRNOG00000015159	23
ENSRNOG00000015465	7
ENSRNOG00000028261	2797
ENSRNOG00000039743	4
ENSRNOG00000060926	1
ENSRNOG00000015676	769
ENSRNOG00000015810	21
ENSRNOG00000051415	0
ENSRNOG00000016103	239
ENSRNOG00000016372	185
ENSRNOG00000056712	0
