baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000000043	934.689624139037	-0.417879685943451	0.11650832743985	-3.58669371645722	0.000334897296344762	0.0131785899236486
ENSRNOG00000000108	400.762781934035	-0.332326390231648	0.102177969034486	-3.25242704833451	0.00114423964181344	0.0287363192401656
ENSRNOG00000000164	1407.84815425182	-0.327931490297495	0.0986115998649827	-3.32548595445661	0.000882645472257937	0.0241054620853115
ENSRNOG00000000219	514.338475369539	-0.216336316554707	0.0535007915682417	-4.04360964040623	5.26345253226161e-05	0.00361981985514174
ENSRNOG00000000233	53.2541685489482	-0.473256320572727	0.141615098404301	-3.34184932189656	0.000832222244551576	0.023231591439235
ENSRNOG00000000288	155.138521566607	-0.646548312948403	0.175625919761541	-3.68139460181199	0.000231961677445881	0.0103833733128881
ENSRNOG00000000312	949.685716802172	-0.204979198405949	0.0592835810108565	-3.4576048698612	0.000545000080281349	0.018083007049686
ENSRNOG00000000436	92.0697003510624	-0.548543748023005	0.179208803102947	-3.06091965642945	0.00220658296301653	0.0425836737633165
ENSRNOG00000000466	275.280377121244	-0.307246463408482	0.0846674161089374	-3.62886311557168	0.00028467212742816	0.0117882589125322
ENSRNOG00000000571	22678.97821087	-0.0998751606857103	0.0320500604305122	-3.11622378691765	0.00183183199793079	0.0375042193893003
ENSRNOG00000000586	428.999818439221	-0.237935457484943	0.0722646105279558	-3.29255849781265	0.000992802420785354	0.0262148352992712
ENSRNOG00000000658	223.783017290262	-0.939463221988394	0.216689479258337	-4.33552761861763	1.45410914711566e-05	0.00134457074361798
ENSRNOG00000000866	634.088585758066	-0.305151891843176	0.0643487833204894	-4.74215480226511	2.11456941749011e-06	0.000310615876569178
ENSRNOG00000000920	101.260300396259	-0.983412979900264	0.202126392304513	-4.86533682557747	1.14262047400221e-06	0.000189092908489719
ENSRNOG00000001299	2076.25673590661	-0.254530892525407	0.0800010019212758	-3.18159631020466	0.00146465815598739	0.0336782338907131
ENSRNOG00000001309	2784.07100874996	-0.301357533798848	0.0889877075998872	-3.38650743936267	0.000707883572060122	0.0210477887512344
ENSRNOG00000001410	1356.80100084677	-0.20564331307988	0.0544783380692349	-3.77477214555507	0.000160153982411482	0.00821399916571429
ENSRNOG00000001469	445.619513511392	-0.831580930738837	0.248031147576571	-3.35272782819389	0.000800193531508758	0.0226297722088365
ENSRNOG00000001517	643.278829908183	-0.399262727673401	0.0680374230162906	-5.86828116017567	4.40336094842165e-09	1.80061759863837e-06
ENSRNOG00000001657	1441.08353849185	-0.126245355685748	0.0412725247471989	-3.05882318707232	0.00222208255299127	0.0427736756065623
ENSRNOG00000001736	795.40406448809	-0.136617885345946	0.0431838093436724	-3.1636367291892	0.00155811144229745	0.0343165927979101
ENSRNOG00000001766	2305.56386470304	-0.274350406089433	0.0786504260236011	-3.48822530226482	0.000486238167165007	0.0168627045350931
ENSRNOG00000001786	994.248683366796	-0.196147700988475	0.0580816180822259	-3.37710462388961	0.00073253181254656	0.0213549254794402
ENSRNOG00000001953	73.3371682593924	-0.607848306433409	0.185579609746877	-3.27540459462379	0.00105510745494367	0.0272419382138187
