baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000000167	114.728271600375	-0.730396184548689	0.173826282020401	-4.20187428540274	2.64714132878773e-05	0.01706376713218
ENSRNOG00000000168	2464.58597859303	-0.549695361341933	0.159138225462874	-3.45420064690978	0.00055192657573112	0.0488855271618945
ENSRNOG00000000658	223.783017290262	-0.78079397036187	0.216190096349929	-3.61160841104425	0.000304303824151008	0.0469625591607291
ENSRNOG00000000699	635.807729088706	-0.658544534838066	0.151337604851617	-4.35149304420241	1.35213612032354e-05	0.0129608623371488
ENSRNOG00000000700	345.800281115194	-0.93953420055975	0.17168915939093	-5.47229774956534	4.44237620584298e-08	0.000515448911163961
ENSRNOG00000000940	2127.61889292117	-0.643788558887534	0.183752830618865	-3.50355723348209	0.000459087988904936	0.0475443439114248
ENSRNOG00000001090	222.010200975142	-0.451496866954743	0.118241094422873	-3.81844289549644	0.00013429666199808	0.0294008333804477
ENSRNOG00000001544	652.044262166167	-0.596963922684618	0.168518583771053	-3.5424219057979	0.000396470796791948	0.0475443439114248
ENSRNOG00000001652	172.075410080696	-0.761623916503629	0.202650863977467	-3.75830579527317	0.000171067737322219	0.033604353957807
ENSRNOG00000002039	1409.24909220531	-0.204865447518055	0.0580945908958319	-3.52641174262496	0.000421231534337232	0.0475443439114248
ENSRNOG00000002225	2746.65182946582	-0.273312758795002	0.0565652945713081	-4.83181005007328	1.35297310499997e-06	0.00392463673432868
ENSRNOG00000002248	1158.6651934641	-0.189617837422535	0.0472032942732913	-4.01704669857809	5.89320492379269e-05	0.0213683927283646
ENSRNOG00000002360	1043.14035505845	-0.571345811741649	0.146026965221835	-3.91260484578104	9.1305875111187e-05	0.024312066315278
ENSRNOG00000002607	565.591300898837	-0.548776101933594	0.156330916521481	-3.510349162817	0.000447518627782751	0.0475443439114248
ENSRNOG00000002636	3504.26897883076	-0.261355756590083	0.0709753156525445	-3.68234722434395	0.000231096359997431	0.0412524779238491
ENSRNOG00000003123	873.582774573396	-0.217591674393401	0.0610778773736504	-3.5625284268191	0.000367300121356369	0.0475443439114248
ENSRNOG00000003237	854.885219794275	-0.651181060267715	0.150588081991203	-4.32425363054797	1.53049135769486e-05	0.0129608623371488
ENSRNOG00000004458	676.734295972878	-0.566735738381408	0.160399192653897	-3.53328298605772	0.00041043289275094	0.0475443439114248
ENSRNOG00000004466	283.663873329168	-0.580521071591144	0.141701781403675	-4.09678033572051	4.18936084701225e-05	0.0202538141282846
ENSRNOG00000004613	14782.139799215	-0.297830113540357	0.0821189181291121	-3.62681487196521	0.000286938863217595	0.0467428069771178
ENSRNOG00000004696	2225.68943752668	-0.224699763312817	0.0646066238389911	-3.47796789184961	0.000505230439683679	0.0480507278004076
ENSRNOG00000005865	1267.65332309325	-0.58458343519726	0.149911775842729	-3.89951644499591	9.63849909939489e-05	0.024312066315278
ENSRNOG00000006689	436.256925377537	-0.388058117540246	0.0938795999884428	-4.13357233720658	3.57167810172e-05	0.0194469492848057
ENSRNOG00000007102	1356.02684198409	-0.704214743192113	0.180567297318669	-3.90001264708138	9.6187663335297e-05	0.024312066315278
ENSRNOG00000008012	1482.4025167905	-0.661928759722727	0.156524383504604	-4.22891785229909	2.34818060469047e-05	0.0169587189193911
ENSRNOG00000009248	899.664451963342	-0.314379039591416	0.0894720281373071	-3.51371312505578	0.000441889765111368	0.0475443439114248
ENSRNOG00000009470	1458.9398764603	-0.45300798744594	0.125001317239164	-3.62402570989875	0.000290052753800955	0.0467428069771178
ENSRNOG00000009538	631.79362917009	-0.211970745142472	0.0602213984367869	-3.51985756964733	0.000431778596922105	0.0475443439114248
ENSRNOG00000010915	1219.44273107435	-0.181546996494594	0.0520377807317115	-3.48875363133925	0.000485278195265334	0.0475443439114248
ENSRNOG00000011800	421.042511838736	-0.510285279737363	0.145331528941362	-3.51118083910926	0.000446120803671869	0.0475443439114248
ENSRNOG00000012536	1068.35702865786	-0.25536364673187	0.0667513709764331	-3.8255940364435	0.000130457123174688	0.0291095000037675
ENSRNOG00000012681	417.821226845084	-0.579953912631713	0.161378921832371	-3.59374016164347	0.000325964915689441	0.0469625591607291
ENSRNOG00000012772	212.397291902722	-0.453070387482844	0.125531419805098	-3.60921901613389	0.000307120235085132	0.0469625591607291
ENSRNOG00000012966	430.471260774219	-0.523900830163935	0.137627851887176	-3.80664831267885	0.000140862832145299	0.0298726699837409
ENSRNOG00000013017	6348.6034570633	-0.135706117673835	0.0385265150272422	-3.5224083356067	0.000427644900303442	0.0475443439114248
ENSRNOG00000013220	175.565236346897	-0.536253575264707	0.151809448966153	-3.53241236903684	0.000411786678373871	0.0475443439114248
ENSRNOG00000013229	126.067403064709	-0.558886646816558	0.140971444747758	-3.96453798013193	7.3538238251628e-05	0.0242282519885045
ENSRNOG00000013484	1144.70892470007	-0.575155892668651	0.161261012158339	-3.5666146762363	0.00036162260183106	0.0475443439114248
ENSRNOG00000013683	2904.28954955417	-0.620621548530709	0.179612052009596	-3.45534468086557	0.000549589739404872	0.0488855271618945
ENSRNOG00000013770	523.634931760123	-0.598403000031374	0.155379068601471	-3.85124589442743	0.00011751842718058	0.0278278838893116
ENSRNOG00000014034	496.949058485129	-0.544773410059222	0.155774377761762	-3.4971952248295	0.000470177616094044	0.0475443439114248
ENSRNOG00000014718	4141.51259420342	-0.26688477078418	0.0716466817246455	-3.72501230147515	0.000195305697671713	0.0371497050833587
ENSRNOG00000015029	628.063665907816	-0.357825109386711	0.0951479732384133	-3.76072234865271	0.000169423401750035	0.033604353957807
ENSRNOG00000015030	822.662153740142	-0.556314033200995	0.141456880183192	-3.93274637812278	8.39808315959097e-05	0.0242567826782299
ENSRNOG00000015054	260.389851176436	-0.311410984210477	0.0745109719514093	-4.17939769210844	2.92282171389655e-05	0.0176605455580907
ENSRNOG00000015124	1685.48227966369	-0.526888091830743	0.134482077684694	-3.91790564885593	8.93216524929948e-05	0.024312066315278
ENSRNOG00000015658	1528.90020341766	-0.224067886348975	0.0616321709940626	-3.635566989366	0.000277369901652866	0.0466423618678
ENSRNOG00000016497	325.45354225466	-0.32630711413638	0.089945812383834	-3.62781885546711	0.000285825677176886	0.0467428069771178
ENSRNOG00000016848	470.702809034991	-0.438897009313688	0.108227273727371	-4.05532722203914	5.00641674337595e-05	0.0213683927283646
ENSRNOG00000019317	128.772935417689	-0.549696101826613	0.158372774252194	-3.47090025051449	0.000518716650206105	0.0482577016272255
ENSRNOG00000019667	191.013223386136	-0.491480086083491	0.140776516893269	-3.49120788700938	0.000480841954211256	0.0475443439114248
ENSRNOG00000019996	1030.0486557749	-0.365306168899263	0.0809754747452213	-4.51131864368379	6.44258533960733e-06	0.00934416471193299
ENSRNOG00000021004	331.276288172492	-0.478098520844155	0.133927580257166	-3.56982870836698	0.000357214729018196	0.0475443439114248
ENSRNOG00000023208	745.768132960151	-0.566831955103962	0.135926382044268	-4.17013935469393	3.04413437181604e-05	0.0176605455580907
ENSRNOG00000024127	344.419516643146	-0.349600206840588	0.09911004375279	-3.52739433465083	0.000419671230468523	0.0475443439114248
ENSRNOG00000025745	473.594901450687	-0.467357440963154	0.118263927829593	-3.95181734228016	7.75599326946656e-05	0.0242567826782299
ENSRNOG00000027091	338.678281573626	-0.404005397831429	0.0875326174431963	-4.61548402906614	3.9218020120905e-06	0.00758411145771434
ENSRNOG00000029212	646.924152595906	-0.452262572509948	0.120462634405022	-3.75438055745436	0.000173770683225754	0.033604353957807
ENSRNOG00000029756	144.171605259479	-0.748906079008687	0.183264757458696	-4.08647079445963	4.37984590267067e-05	0.0203277408034751
ENSRNOG00000033261	20223.7592219989	-0.659246006282703	0.162918379600605	-4.04648025532077	5.19935080341471e-05	0.0213683927283646
