baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000000096	223.943635708138	0.292144164245702	0.0859601675532485	3.3985992880334	0.000677318731417355	0.020454755302085
ENSRNOG00000000130	2793.48840006525	0.433003192487423	0.0951462495731818	4.55092233724229	5.34112615611547e-06	0.000625202833763113
ENSRNOG00000000175	603.335683471925	0.171703074850505	0.0566657414337962	3.03010373650734	0.00244469754762855	0.0451682261936062
ENSRNOG00000000196	14.1056519857826	1.02738066331338	0.332709683684246	3.08791932935863	0.00201563178722161	0.0397607678496258
ENSRNOG00000000411	1864.60919965005	0.211575678682235	0.0598008335550968	3.53800551103192	0.000403161643624486	0.0149505776177414
ENSRNOG00000000433	2933.65901316541	0.371714773507582	0.0521125970445894	7.13291592797667	9.82645826754114e-13	2.47790522646496e-09
ENSRNOG00000000536	354.224675707838	0.706152237905336	0.168846503646391	4.18221415697303	2.88683848470617e-05	0.00226310187946136
ENSRNOG00000000560	180.445866976424	0.329860008689133	0.105687711024552	3.12108196394284	0.00180187874595902	0.0373238719925512
ENSRNOG00000000593	1265.63025360676	0.180369646771001	0.0591355151260309	3.05010696848744	0.00228759874601065	0.0433093278312016
ENSRNOG00000000639	261.574958498803	0.284718893207624	0.0833231686635904	3.41704351591753	0.000633051598852468	0.0198715159556802
ENSRNOG00000000708	2711.38107887815	0.478244576759865	0.0997662485381753	4.79365099687863	1.63773086529797e-06	0.000255452247339776
ENSRNOG00000000718	835.951582210511	0.134845312987856	0.0415554144731441	3.24495170358612	0.00117470545205002	0.0293126472796535
ENSRNOG00000000796	2762.29827301474	0.221860211254169	0.071432856192777	3.10585664747089	0.00189728669851517	0.0382251451175693
ENSRNOG00000000902	6431.26871415243	0.735381858169643	0.156690175096266	4.69322251837326	2.68934688389187e-06	0.000380278676198916
ENSRNOG00000000909	531.976315781666	0.268275922312632	0.0896417840939059	2.99275527617338	0.0027647134413426	0.0484705844351258
ENSRNOG00000001004	4082.20472274163	0.202665150363481	0.0519981390955205	3.89754621778262	9.71722813365956e-05	0.00567651203329224
ENSRNOG00000001006	1392.33440209039	0.555649396295113	0.150808163712436	3.68447823126231	0.000229171609702722	0.0103497244356573
ENSRNOG00000001128	501.558633360718	0.511353525370847	0.112392436074293	4.54971476045626	5.37186836676832e-06	0.000625202833763113
ENSRNOG00000001130	508.052326184807	0.60273959705134	0.161630925464546	3.72911059760992	0.000192156805391272	0.00934833590215414
ENSRNOG00000001138	935.29775376482	0.181979302951883	0.0478140268534135	3.80598152734109	0.000141242925047659	0.00749826475779328
ENSRNOG00000001184	371.827629402242	0.252616666265385	0.0762920021678605	3.31118150116926	0.000929029298253731	0.0249666310525381
ENSRNOG00000001185	2401.41601702587	0.246312453735211	0.0617072837220092	3.99162690169359	6.56215573082613e-05	0.00427954380204307
ENSRNOG00000001237	1466.56230593183	0.200845087073478	0.0564392991685819	3.55860349139988	0.000372831883103616	0.0140795537293744
ENSRNOG00000001247	1812.31075168459	0.251011573671802	0.0792372754059119	3.16784710713405	0.00153572261482615	0.0342377103974057
ENSRNOG00000001253	1647.78398814828	0.135380807207362	0.0393378674097069	3.44148821788839	0.000578523665438989	0.0187833971203689
ENSRNOG00000001304	1733.43583304304	0.373809929932441	0.101475813498197	3.68373425199574	0.000229841864532773	0.0103497244356573
ENSRNOG00000001416	1071.58162849353	0.905100606461513	0.156875773051008	5.76953718766516	7.94895360980517e-09	3.00669170290881e-06
ENSRNOG00000001439	1117.21135667745	0.178472038695902	0.0591655242742647	3.01648706548405	0.00255722127678788	0.0462255172255682
ENSRNOG00000001559	320.521828232319	0.354434501208055	0.097202561175858	3.64634940602867	0.000265992242373562	0.0113046703008764
ENSRNOG00000001701	70.5128492036462	0.811548606791631	0.207959886863132	3.90242858386314	9.52323411681214e-05	0.0055847493095879
ENSRNOG00000001726	620.668634756249	0.364600305302906	0.0568714470225785	6.41095531045932	1.44610586085832e-10	1.09397908373932e-07
ENSRNOG00000001785	2209.82026180288	0.513576753225286	0.0873667631979437	5.87839968457677	4.14251725315858e-09	1.8006175986252e-06
ENSRNOG00000001796	709.90243171492	0.55301476584899	0.10508413492455	5.2625904590265	1.42039738949494e-07	3.71472211977669e-05
ENSRNOG00000001803	917.930713663052	0.434489754833549	0.0652920205925604	6.65456132143436	2.84146268558195e-11	2.86608869552366e-08
ENSRNOG00000001843	408.786416461385	0.460675691276534	0.0788289520780113	5.84399106080513	5.09647640240394e-09	2.02920231495715e-06
ENSRNOG00000001859	202.909208353793	0.533980715726384	0.124366379853588	4.29360986751419	1.75791261611621e-05	0.00156454222834343
ENSRNOG00000001888	833.849609953622	0.150621777776567	0.0486635008063087	3.09516938323189	0.00196700530351136	0.0391574226359002
