baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000000123	705.545352005508	0.434320808273797	0.110088935343647	3.94518129290695	7.97396257797408e-05	0.024256782678513
ENSRNOG00000000130	2793.48840006525	0.3647058469831	0.0951780124545508	3.8318287761814	0.000127194252545571	0.0289379394565934
ENSRNOG00000000175	603.335683471925	0.198115189391299	0.0566011619454782	3.50019650801756	0.00046491529769996	0.0475443439124863
ENSRNOG00000000432	210.285025188076	0.365511807038794	0.100960629086982	3.62034003100247	0.00029421610844459	0.0467642398120901
ENSRNOG00000000433	2933.65901316541	0.222821895968535	0.0522306509542517	4.26611370713536	1.98907431596902e-05	0.0153861528587924
ENSRNOG00000001006	1392.33440209039	0.60668448230109	0.150784082238615	4.02353135220876	5.73319478821427e-05	0.0213683927281487
ENSRNOG00000001185	2401.41601702587	0.289903054859959	0.0616773356172321	4.7003174173912	2.5975741362068e-06	0.00602793054048149
ENSRNOG00000001416	1071.58162849353	0.694372265738286	0.157013517509888	4.422372524038	9.76229483599565e-06	0.0125359940563594
ENSRNOG00000001785	2209.82026180288	0.347355189678516	0.0874680923231024	3.97122173872736	7.15049860639716e-05	0.0242282519890914
ENSRNOG00000001796	709.90243171492	0.373209435715256	0.105365544881064	3.54204437642811	0.000397038673622933	0.0475443439124863
ENSRNOG00000002635	410.975487803066	0.382467880715995	0.109028571647147	3.50796011483842	0.000451556744518098	0.0475443439124863
ENSRNOG00000005183	1691.45481962307	0.193600573010437	0.0559566194117296	3.45983326093953	0.000540509970087848	0.0488855271632246
ENSRNOG00000006093	891.685598942899	0.356688323523572	0.0907093142290273	3.93221276729077	8.41675185360988e-05	0.024256782678513
ENSRNOG00000006470	642.322312486928	0.47292629826217	0.103549502903345	4.56715179698744	4.94395991698173e-06	0.00819496670239129
ENSRNOG00000008000	4393.81423993884	0.359393978635934	0.102279664241977	3.51383612079197	0.000441685216107848	0.0475443439124863
ENSRNOG00000008961	2957.27706483093	0.205664692090294	0.0587275597546135	3.50201324471237	0.000461756663674448	0.0475443439124863
ENSRNOG00000010068	305.603769065239	0.359722926235852	0.0947688784506293	3.79579174215144	0.00014717300835685	0.0301124679459952
ENSRNOG00000010386	382.421901918007	0.253518096978025	0.0716413670702629	3.53871104566423	0.000402085724718802	0.0475443439124863
ENSRNOG00000010466	1318.74764739744	0.219495044918193	0.0590896928019337	3.71460798846817	0.000203518946001035	0.0374830211182541
ENSRNOG00000011668	128.415659845142	0.701975993440748	0.162108391473309	4.33028782199918	1.48914572062574e-05	0.0129608623375782
ENSRNOG00000011803	311.032454223685	0.441346387170901	0.127583889186643	3.45926425338276	0.000541653207083463	0.0488855271632246
ENSRNOG00000014365	776.131837024081	0.44922211283052	0.128858934818025	3.48615416901368	0.000490018513833622	0.0475443439124863
ENSRNOG00000014448	990.387572578383	0.226503909037257	0.0628641816964492	3.60306780307697	0.000314483452704468	0.0469625591616114
ENSRNOG00000014890	411.132611357468	0.283825202836463	0.0778362420183844	3.64644021186719	0.000265898308603174	0.0453708540400387
ENSRNOG00000015079	1712.29347199087	0.258098215100179	0.0640547421553753	4.0293381319703	5.59341150061019e-05	0.0213683927281487
ENSRNOG00000016143	4297.00811846818	0.206531423733761	0.0595073190633654	3.47068943761084	0.000519124022115104	0.0482577016278137
ENSRNOG00000016566	1517.9702304159	0.181404546360812	0.0440729041554329	4.11601072897418	3.85486368648476e-05	0.0194469492844707
ENSRNOG00000016877	3144.36482802377	0.260803853657594	0.0730172688332396	3.57181058433219	0.000354521789837359	0.0475443439124863
ENSRNOG00000017284	456.854326899277	0.281493556289494	0.079374255119046	3.5464087929683	0.000390519897982245	0.0475443439124863
ENSRNOG00000017824	927.919317139597	0.177407582603825	0.0508305394370149	3.49017705829494	0.00048270062296579	0.0475443439124863
ENSRNOG00000017828	2384.36178729743	0.413436850674319	0.118700997774922	3.48301074484873	0.000495808464484258	0.0475443439124863
ENSRNOG00000018295	1768.19049192319	0.157799238459692	0.0445584240134009	3.54140080026694	0.000398008488353424	0.0475443439124863
ENSRNOG00000019321	6293.2886875069	0.413435823116442	0.112510471983939	3.6746430427868	0.000238182175252451	0.0418731481735484
ENSRNOG00000019802	410.649458961118	0.280271341040605	0.0780855421943357	3.58928596977759	0.000331584942065983	0.0469625591616114
ENSRNOG00000019869	876.782416494047	0.289402551193446	0.0833941828286581	3.47029662474244	0.00051988388377805	0.0482577016278137
ENSRNOG00000020013	167.735635628231	0.529077868444637	0.120233461318534	4.4004211693029	1.08040972648103e-05	0.0125359940563594
ENSRNOG00000020061	983.018793230584	0.227049563180402	0.0632512681250121	3.58964444367586	0.000331129308180632	0.0469625591616114
ENSRNOG00000020867	2053.71139022664	0.245648397077592	0.0691132262358083	3.5542892505041	0.00037900213061278	0.0475443439124863
ENSRNOG00000021067	819.199160618111	0.278833783483275	0.0734832438054247	3.79452197594318	0.000147928180032899	0.0301124679459952
ENSRNOG00000021068	1628.20396545121	0.200152862435	0.057447631393929	3.48409251310144	0.000493808767888943	0.0475443439124863
ENSRNOG00000021781	974.433089709654	0.231269124431986	0.0652261270682734	3.54565164032984	0.000391643577567415	0.0475443439124863
ENSRNOG00000022466	267.534120440883	0.448639604080522	0.127557172390568	3.51716485770655	0.000436182783687774	0.0475443439124863
ENSRNOG00000026109	968.666834343699	0.203027258069648	0.0587255052276515	3.45722454464385	0.00054576988162417	0.0488855271632246
ENSRNOG00000028436	326.402837565311	0.474605260314239	0.132237180111592	3.58904553102033	0.000331890877467219	0.0469625591616114
ENSRNOG00000037476	2535.9589891406	0.501684147533989	0.121787449637312	4.11934192749766	3.79955972878982e-05	0.0194469492844707
ENSRNOG00000047236	146.637949728611	0.374187777787845	0.107941531141315	3.46657837656542	0.000527128028873099	0.0485417977699569
ENSRNOG00000047247	9265.4580404102	0.18946815681941	0.0484849735472585	3.90777065464902	9.31516654247873e-05	0.0243120663160552
ENSRNOG00000047466	474.49323942762	0.655144024527988	0.15167129602164	4.3194990859346	1.56383756550974e-05	0.0129608623375782
ENSRNOG00000048617	4430.15113494426	0.253004374805346	0.0651941272880586	3.88078474748888	0.000104119962903531	0.0254067574127604
ENSRNOG00000051051	197.301812776455	0.409012660990651	0.110544416491361	3.69998480224115	0.000215612378734034	0.0390898504757969
ENSRNOG00000053828	2571.96333391274	0.151293226613512	0.0394164911614502	3.83832305097412	0.0001238774362646	0.028746997859563
ENSRNOG00000058484	668.083315944261	0.212936270814503	0.0505044757499352	4.21618614296331	2.48468690530746e-05	0.0169587189189897
ENSRNOG00000060137	221.987209091682	0.329805565168167	0.0816778401875103	4.03788303426023	5.39357325219368e-05	0.0213683927281487
ENSRNOG00000061231	1071.05000694234	0.348831283911588	0.0701522081337345	4.97249186007936	6.60977473470722e-07	0.00383466081234039
