Geneid	12-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	1
ENSRNOG00000058808	0
ENSRNOG00000061316	10
ENSRNOG00000050129	0
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	1
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	3642
ENSRNOG00000051899	6
ENSRNOG00000014330	2498
ENSRNOG00000049505	71
ENSRNOG00000014916	859
ENSRNOG00000014996	179
ENSRNOG00000015239	231
ENSRNOG00000055508	2
ENSRNOG00000053710	2
ENSRNOG00000015552	625
ENSRNOG00000016041	3
ENSRNOG00000016054	1075
ENSRNOG00000016381	153
ENSRNOG00000054005	0
ENSRNOG00000059137	0
ENSRNOG00000013160	1948
ENSRNOG00000052788	0
ENSRNOG00000023549	252
ENSRNOG00000031859	0
ENSRNOG00000013351	3169
ENSRNOG00000061755	1
ENSRNOG00000053182	0
ENSRNOG00000042741	24
ENSRNOG00000014258	55
ENSRNOG00000057302	0
ENSRNOG00000014290	662
ENSRNOG00000041566	0
ENSRNOG00000014431	5
ENSRNOG00000014450	927
ENSRNOG00000014852	188
ENSRNOG00000052274	0
ENSRNOG00000040242	73
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	2542
ENSRNOG00000014902	39
ENSRNOG00000014908	470
ENSRNOG00000036310	0
ENSRNOG00000025587	46
ENSRNOG00000042705	0
ENSRNOG00000043188	0
ENSRNOG00000015217	366
ENSRNOG00000015473	142
ENSRNOG00000015551	332
ENSRNOG00000015660	307
ENSRNOG00000046983	101
ENSRNOG00000016624	0
ENSRNOG00000010753	692
ENSRNOG00000011015	5585
ENSRNOG00000011399	0
ENSRNOG00000011411	312
ENSRNOG00000011540	924
ENSRNOG00000012092	5
ENSRNOG00000012103	13
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	13
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	75
ENSRNOG00000055836	10
ENSRNOG00000060657	2
ENSRNOG00000059898	3
ENSRNOG00000055789	4
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	529
ENSRNOG00000055972	0
ENSRNOG00000060021	13
ENSRNOG00000060610	1
ENSRNOG00000060972	852
ENSRNOG00000051450	200
ENSRNOG00000059224	501
ENSRNOG00000055142	6
ENSRNOG00000052189	2
ENSRNOG00000053331	2
ENSRNOG00000053347	230
ENSRNOG00000059393	0
ENSRNOG00000060603	547
ENSRNOG00000053735	48
ENSRNOG00000053184	1
ENSRNOG00000011460	1455
ENSRNOG00000025799	0
ENSRNOG00000011994	52
ENSRNOG00000049517	199
ENSRNOG00000058088	0
ENSRNOG00000054373	0
ENSRNOG00000012057	0
ENSRNOG00000053291	1
ENSRNOG00000012074	777
ENSRNOG00000012259	13
ENSRNOG00000012286	0
ENSRNOG00000057719	0
ENSRNOG00000012311	81
ENSRNOG00000012322	111
ENSRNOG00000031700	583
ENSRNOG00000054452	5
ENSRNOG00000012701	1196
ENSRNOG00000053505	0
ENSRNOG00000058050	2074
ENSRNOG00000013436	256
ENSRNOG00000058518	0
ENSRNOG00000053617	0
ENSRNOG00000013969	1539
ENSRNOG00000055858	7
ENSRNOG00000014531	1454
ENSRNOG00000014907	7
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	1
ENSRNOG00000055971	0
ENSRNOG00000047605	1953
ENSRNOG00000046617	34
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	409
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	177
ENSRNOG00000030796	0
ENSRNOG00000051380	0
ENSRNOG00000011720	274
ENSRNOG00000033517	77
ENSRNOG00000039955	2
ENSRNOG00000050801	1
ENSRNOG00000049569	3
ENSRNOG00000047783	363
ENSRNOG00000011855	0
ENSRNOG00000053931	1
ENSRNOG00000026462	8
ENSRNOG00000056218	1
ENSRNOG00000047821	0
ENSRNOG00000012346	2372
ENSRNOG00000013202	254
ENSRNOG00000055111	10
ENSRNOG00000054921	0
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	16
ENSRNOG00000013422	871
ENSRNOG00000013791	49
ENSRNOG00000053913	0
ENSRNOG00000013994	146
ENSRNOG00000015036	300
ENSRNOG00000015321	606
ENSRNOG00000015670	583
ENSRNOG00000026096	0
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	2
ENSRNOG00000039865	0
ENSRNOG00000016371	320
ENSRNOG00000060376	12
ENSRNOG00000016411	1377
ENSRNOG00000057952	6
ENSRNOG00000061678	3
ENSRNOG00000054517	4
ENSRNOG00000016627	73
ENSRNOG00000048248	1
ENSRNOG00000016700	0
ENSRNOG00000011114	791
ENSRNOG00000011161	443
ENSRNOG00000051597	0
ENSRNOG00000057722	0
ENSRNOG00000011815	937
ENSRNOG00000059690	1
ENSRNOG00000051379	1
ENSRNOG00000059251	3
ENSRNOG00000061761	0
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	1
ENSRNOG00000052999	3
ENSRNOG00000048976	0
ENSRNOG00000048796	0
ENSRNOG00000054246	9
ENSRNOG00000012122	436
ENSRNOG00000062105	0
ENSRNOG00000062163	1
ENSRNOG00000062138	0
ENSRNOG00000012609	25
ENSRNOG00000058582	1
ENSRNOG00000029608	427
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	0
ENSRNOG00000013323	174
ENSRNOG00000021478	286
ENSRNOG00000021442	121
ENSRNOG00000013364	206
ENSRNOG00000014004	1249
ENSRNOG00000014190	191
ENSRNOG00000014240	52
ENSRNOG00000042944	3
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	24
ENSRNOG00000011568	258
ENSRNOG00000011588	759
ENSRNOG00000011622	726
ENSRNOG00000054753	0
ENSRNOG00000042309	2160
ENSRNOG00000012324	1294
ENSRNOG00000061741	5
ENSRNOG00000054845	0
ENSRNOG00000023407	14
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	38
ENSRNOG00000028357	63
ENSRNOG00000012775	498
ENSRNOG00000013331	5424
ENSRNOG00000014485	530
ENSRNOG00000014721	3
ENSRNOG00000039776	862
ENSRNOG00000015159	10
ENSRNOG00000015465	6
ENSRNOG00000028261	2274
ENSRNOG00000039743	3
ENSRNOG00000060926	0
ENSRNOG00000015676	886
ENSRNOG00000015810	32
ENSRNOG00000051415	0
ENSRNOG00000016103	341
ENSRNOG00000016372	319
ENSRNOG00000056712	1
