baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSRNOG00000000700	345.800281115194	-0.726931983346522	0.172304588430483	-4.21887768612619	2.4552141540536e-05	0.00751437178110828
ENSRNOG00000001726	620.668634756249	-0.251894640887469	0.0570133337643427	-4.41817070246485	9.95397926383241e-06	0.00406198923035623
ENSRNOG00000001803	917.930713663052	-0.301873772018347	0.0653375704244627	-4.62021728168398	3.83338375615154e-06	0.00254201260329799
ENSRNOG00000001843	408.786416461385	-0.313838582846601	0.0788528263785715	-3.9800549613766	6.88993369377216e-05	0.0160042054303163
ENSRNOG00000001859	202.909208353793	-0.556155072920317	0.125307377854108	-4.43832663682289	9.06609641737956e-06	0.00396441943028851
ENSRNOG00000002434	430.556562255602	-1.08871867576284	0.145530653590401	-7.48102649787488	7.37443064590804e-14	9.28983768270941e-10
ENSRNOG00000002753	7816.7878230518	-0.230193726650563	0.0637772243505054	-3.60934062268796	0.00030697630834903	0.0448213573153653
ENSRNOG00000003029	8430.82265749335	-0.246859984369891	0.0604337830473347	-4.0848011149085	4.41145854393184e-05	0.0121048901252888
ENSRNOG00000003891	424.914451159361	-0.889808822901858	0.177167465217844	-5.02241662603095	5.10253492274788e-07	0.000507542770597079
ENSRNOG00000003984	1150.81138627465	-0.545337778788765	0.132275032191252	-4.12275672706152	3.74365008424009e-05	0.0106393198376216
ENSRNOG00000004006	549.644420250981	-0.242747017271409	0.0580121383397309	-4.18441767910421	2.85898025387142e-05	0.00858503221516294
ENSRNOG00000004659	206.22279305553	-0.595186697846456	0.085970535289654	-6.92314751607791	4.41717363508894e-12	1.75748296006101e-08
ENSRNOG00000004827	2139.91476265509	-0.180015026007166	0.0367911289449114	-4.89289215008076	9.93648636549177e-07	0.000790695902534007
ENSRNOG00000004956	930.615939358355	-0.327860759588539	0.0769284864410493	-4.2618901626224	2.02705073214008e-05	0.00701315487000203
ENSRNOG00000005248	1124.40648248189	-0.42496861685632	0.0948370217578765	-4.48104135894614	7.42797137854609e-06	0.00347694601439885
ENSRNOG00000005957	259.717320081762	-0.378157814224134	0.0951743869418272	-3.97331494717453	7.08792291118961e-05	0.0161148990187975
ENSRNOG00000006228	793.583486707445	-0.407712629934123	0.0549446304493972	-7.42042719369307	1.16743169119817e-13	9.28983768270941e-10
ENSRNOG00000006378	881.079535955269	-0.24122751592861	0.0638979250527389	-3.7752010840651	0.000159878639951399	0.0282718728314057
ENSRNOG00000007646	6085.43475761206	-0.299113027724222	0.0663566075281788	-4.50766003366283	6.55464890304236e-06	0.00336507217070707
ENSRNOG00000007916	2681.68699009194	-0.200634320228716	0.0558328228509164	-3.5934833666649	0.000326286486966636	0.047207722182491
ENSRNOG00000009956	2719.37864190106	-0.263260696267406	0.0502049318535585	-5.24372181273553	1.57369415935097e-07	0.000278281583845231
ENSRNOG00000010352	368.827315582306	-0.375213445764227	0.0834940370808434	-4.49389511973082	6.99320806249717e-06	0.00337263352468613
ENSRNOG00000010488	3052.92113651694	-0.394093200012528	0.0857325590621047	-4.59677401822389	4.29082557140413e-06	0.00273153955875587
ENSRNOG00000010868	702.278450473594	-0.254265374575559	0.063070524824308	-4.03144535872902	5.54348854781414e-05	0.0140039079743591
ENSRNOG00000010872	19626.5246459434	-0.156495556399009	0.0421064337847997	-3.71666613227889	0.000201868919550858	0.0338183563647569
ENSRNOG00000012546	448.161077582007	-0.358222483235709	0.0945084154335972	-3.79037656691431	0.000150419067935088	0.0278362728626387
ENSRNOG00000012564	333.586265926863	-0.249072295719986	0.0631330792186513	-3.94519479807668	7.97351316046913e-05	0.0178730228096995
ENSRNOG00000014007	1673.36049902369	-0.402843773504689	0.0811101503705352	-4.96662589903211	6.81278303651841e-07	0.00060236356681217
ENSRNOG00000014060	4789.97791449756	-0.213825150084165	0.0591899285877837	-3.6125259007036	0.000303228807866311	0.0447902653681492
ENSRNOG00000014117	107.006753931431	-0.61721105194059	0.143659473112298	-4.29634773516201	1.73635137098649e-05	0.00642651908587209
ENSRNOG00000014148	330.55649044882	-0.305018631078558	0.082012376750834	-3.71917804559245	0.000199872131915542	0.0338183563647569
ENSRNOG00000014201	786.572534656591	-0.296708226960908	0.0666423209414635	-4.45224930298461	8.49754239992082e-06	0.00386395392270685
ENSRNOG00000014316	1359.30386831993	-0.305225543956051	0.0721967751692927	-4.22768943959524	2.36103366788353e-05	0.00751437178110828
ENSRNOG00000014456	386.079825084764	-0.486430213941227	0.106279063096849	-4.57691477293093	4.71883592251246e-06	0.00277426815092295
ENSRNOG00000014524	294.087328428167	-0.444098138650995	0.11080293841324	-4.00799965245263	6.12352104421481e-05	0.0148028873410983
ENSRNOG00000014702	1504.23499094935	-0.42739481141129	0.1170819867823	-3.65038912609143	0.00026184332036057	0.0405945017746512
ENSRNOG00000014723	704.359273313837	-0.65049671104015	0.133429220959727	-4.8752192837616	1.08687653004777e-06	0.000823697141700487
ENSRNOG00000014751	140.885957663186	-0.911659056798292	0.179882453788911	-5.068082170305	4.01843937582791e-07	0.000456810447616437
ENSRNOG00000015002	50.2685963238736	-0.902597731688249	0.208085213873345	-4.33763512018509	1.44023993295124e-05	0.00559058988607778
ENSRNOG00000015018	4420.82711310279	-0.213442273278622	0.0546321002197137	-3.90690221353787	9.3486965255376e-05	0.0197997171475075
ENSRNOG00000017116	1245.2988126549	-0.248146733755389	0.0543315493060078	-4.56726776477087	4.94122644177355e-06	0.00277426815092295
ENSRNOG00000017438	287.50421386571	-0.432593245119511	0.110802991065188	-3.90416577170742	9.45509584172525e-05	0.0197997171475075
ENSRNOG00000018294	7122.43120619812	-0.509073510925676	0.0868513076527625	-5.86143749223659	4.58877214349078e-09	1.21717181106093e-05
ENSRNOG00000019780	46.4470733796591	-1.40312156443729	0.307534634052641	-4.56248308018898	5.05521686313323e-06	0.00277426815092295
ENSRNOG00000019958	2544.44621805663	-0.502618270673354	0.123677039785615	-4.06395780125887	4.8247552340531e-05	0.0125878654999926
ENSRNOG00000019961	4117.20929371268	-0.469209398906947	0.117852788005984	-3.98131776808811	6.85342538310992e-05	0.0160042054303163
ENSRNOG00000020239	960.927435837353	-0.226767899355813	0.0591127053387525	-3.83619558699423	0.000124954908337946	0.0239597273035954
ENSRNOG00000020372	672.543472994343	-0.255908088109267	0.0598561401663253	-4.27538573984493	1.90806639838876e-05	0.00690156289326297
ENSRNOG00000022523	1054.95539759016	-0.461582633942218	0.113372350550591	-4.07138629216513	4.67341740044324e-05	0.0124199291387907
ENSRNOG00000022533	57.1817757806635	-0.722146791943905	0.188242551427473	-3.83625692739369	0.000124923718677275	0.0239597273035954
ENSRNOG00000023546	119.611825333177	-1.14379872316713	0.276704867530038	-4.13364149816758	3.57060294942889e-05	0.0103320265345747
ENSRNOG00000023593	1040.92936207882	-0.170666270756697	0.0472509638399781	-3.61191088788541	0.000303949020405914	0.0447902653681492
ENSRNOG00000025000	1463.26022454386	-0.198856656237361	0.0477411716362917	-4.1653074154174	3.10933302575753e-05	0.00916389538980205
ENSRNOG00000026963	8018.84956281753	-0.303091814210108	0.0715932868273512	-4.23352282932645	2.30058816386908e-05	0.00751437178110828
ENSRNOG00000028274	893.12429023356	-0.466072313385075	0.126782073899183	-3.67616887033807	0.000236762827287671	0.0376808039628328
ENSRNOG00000033261	20223.7592219989	-0.635348492879292	0.162923874973415	-3.8996647543705	9.63259719023711e-05	0.0199094525042368
ENSRNOG00000042041	119.085568219303	-0.53110845989407	0.138318308397399	-3.839755315458	0.000123156993336071	0.0239597273035954
ENSRNOG00000047967	395.799735948052	-0.578893571602162	0.136971056415895	-4.22639342025972	2.37466666598414e-05	0.00751437178110828
ENSRNOG00000049302	1622.54737258946	-0.219860503894239	0.0543017447410986	-4.04886629228023	5.14663358593772e-05	0.0132110763742256
ENSRNOG00000050647	28.890631810606	-1.94938216492691	0.380416088830272	-5.12434206166463	2.98578504076552e-07	0.000431882087400694
ENSRNOG00000050792	43.1827320050666	-0.847622060597189	0.187593619989555	-4.51839492539449	6.23101821062338e-06	0.00330555516073571
ENSRNOG00000052583	4833.69996202163	-0.251390973431582	0.0615127262008299	-4.08681242009707	4.37340431780711e-05	0.0121048901252888
ENSRNOG00000056550	1162.95012283789	-0.301270815593297	0.0757270304077647	-3.97837884268081	6.93867530437842e-05	0.0160042054303163
ENSRNOG00000057724	265.99709317371	-0.879557633747454	0.172296645334227	-5.10490283801673	3.30964521358535e-07	0.000431882087400694
