"ID","Description","GeneRatio","p.adjust","-log10(P)"
"GO:0099173","postsynapse organization","8/48",0.000845452762880795,3.07291065228067
"GO:0099538","synaptic signaling via neuropeptide","3/48",0.000845452762880795,3.07291065228067
"GO:0050807","regulation of synapse organization","8/48",0.00197270284765599,2.70493832850476
"GO:0050803","regulation of synapse structure or activity","8/48",0.00197270284765599,2.70493832850476
"GO:0099151","regulation of postsynaptic density assembly","3/48",0.00367530824093371,2.43470623162119
"GO:1904889","regulation of excitatory synapse assembly","3/48",0.0050864458093528,2.29358557808541
"GO:1905874","regulation of postsynaptic density organization","3/48",0.0050864458093528,2.29358557808541
"GO:0099150","regulation of postsynaptic specialization assembly","3/48",0.00622149261184497,2.20610541027346
"GO:0097107","postsynaptic density assembly","3/48",0.00897624154626048,2.04690546927902
"GO:0099175","regulation of postsynapse organization","5/48",0.0132093591702078,1.87911825093909
