Geneid	3-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	1
ENSRNOG00000058808	0
ENSRNOG00000061316	13
ENSRNOG00000050129	0
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	2
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	3705
ENSRNOG00000051899	2
ENSRNOG00000014330	2734
ENSRNOG00000049505	65
ENSRNOG00000014916	873
ENSRNOG00000014996	163
ENSRNOG00000015239	221
ENSRNOG00000055508	0
ENSRNOG00000053710	0
ENSRNOG00000015552	599
ENSRNOG00000016041	4
ENSRNOG00000016054	1061
ENSRNOG00000016381	183
ENSRNOG00000054005	0
ENSRNOG00000059137	0
ENSRNOG00000013160	2176
ENSRNOG00000052788	0
ENSRNOG00000023549	304
ENSRNOG00000031859	0
ENSRNOG00000013351	3025
ENSRNOG00000061755	0
ENSRNOG00000053182	0
ENSRNOG00000042741	19
ENSRNOG00000014258	56
ENSRNOG00000057302	0
ENSRNOG00000014290	779
ENSRNOG00000041566	0
ENSRNOG00000014431	5
ENSRNOG00000014450	990
ENSRNOG00000014852	248
ENSRNOG00000052274	0
ENSRNOG00000040242	114
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	2920
ENSRNOG00000014902	11
ENSRNOG00000014908	448
ENSRNOG00000036310	0
ENSRNOG00000025587	34
ENSRNOG00000042705	0
ENSRNOG00000043188	0
ENSRNOG00000015217	360
ENSRNOG00000015473	123
ENSRNOG00000015551	349
ENSRNOG00000015660	305
ENSRNOG00000046983	111
ENSRNOG00000016624	0
ENSRNOG00000010753	604
ENSRNOG00000011015	6449
ENSRNOG00000011399	0
ENSRNOG00000011411	300
ENSRNOG00000011540	932
ENSRNOG00000012092	1
ENSRNOG00000012103	29
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	10
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	24
ENSRNOG00000055836	6
ENSRNOG00000060657	1
ENSRNOG00000059898	3
ENSRNOG00000055789	7
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	406
ENSRNOG00000055972	0
ENSRNOG00000060021	27
ENSRNOG00000060610	0
ENSRNOG00000060972	1032
ENSRNOG00000051450	202
ENSRNOG00000059224	439
ENSRNOG00000055142	2
ENSRNOG00000052189	3
ENSRNOG00000053331	5
ENSRNOG00000053347	234
ENSRNOG00000059393	0
ENSRNOG00000060603	549
ENSRNOG00000053735	39
ENSRNOG00000053184	0
ENSRNOG00000011460	1314
ENSRNOG00000025799	0
ENSRNOG00000011994	116
ENSRNOG00000049517	200
ENSRNOG00000058088	2
ENSRNOG00000054373	0
ENSRNOG00000012057	2
ENSRNOG00000053291	0
ENSRNOG00000012074	886
ENSRNOG00000012259	15
ENSRNOG00000012286	0
ENSRNOG00000057719	0
ENSRNOG00000012311	62
ENSRNOG00000012322	121
ENSRNOG00000031700	596
ENSRNOG00000054452	3
ENSRNOG00000012701	1243
ENSRNOG00000053505	1
ENSRNOG00000058050	2086
ENSRNOG00000013436	285
ENSRNOG00000058518	0
ENSRNOG00000053617	0
ENSRNOG00000013969	1381
ENSRNOG00000055858	8
ENSRNOG00000014531	1509
ENSRNOG00000014907	6
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	4
ENSRNOG00000055971	0
ENSRNOG00000047605	1798
ENSRNOG00000046617	30
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	297
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	190
ENSRNOG00000030796	0
ENSRNOG00000051380	2
ENSRNOG00000011720	320
ENSRNOG00000033517	58
ENSRNOG00000039955	0
ENSRNOG00000050801	2
ENSRNOG00000049569	0
ENSRNOG00000047783	367
ENSRNOG00000011855	0
ENSRNOG00000053931	3
ENSRNOG00000026462	6
ENSRNOG00000056218	0
ENSRNOG00000047821	0
ENSRNOG00000012346	2678
ENSRNOG00000013202	266
ENSRNOG00000055111	4
ENSRNOG00000054921	0
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	12
ENSRNOG00000013422	774
ENSRNOG00000013791	18
ENSRNOG00000053913	0
ENSRNOG00000013994	162
ENSRNOG00000015036	340
ENSRNOG00000015321	871
ENSRNOG00000015670	620
ENSRNOG00000026096	0
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	4
ENSRNOG00000039865	1
ENSRNOG00000016371	311
ENSRNOG00000060376	12
ENSRNOG00000016411	1389
ENSRNOG00000057952	6
ENSRNOG00000061678	4
ENSRNOG00000054517	7
ENSRNOG00000016627	77
ENSRNOG00000048248	0
ENSRNOG00000016700	0
ENSRNOG00000011114	709
ENSRNOG00000011161	291
ENSRNOG00000051597	0
ENSRNOG00000057722	1
ENSRNOG00000011815	813
ENSRNOG00000059690	0
ENSRNOG00000051379	0
ENSRNOG00000059251	0
ENSRNOG00000061761	1
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	5
ENSRNOG00000052999	5
ENSRNOG00000048976	9
ENSRNOG00000048796	1
ENSRNOG00000054246	15
ENSRNOG00000012122	448
ENSRNOG00000062105	0
ENSRNOG00000062163	0
ENSRNOG00000062138	2
ENSRNOG00000012609	28
ENSRNOG00000058582	0
ENSRNOG00000029608	501
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	2
ENSRNOG00000013323	208
ENSRNOG00000021478	282
ENSRNOG00000021442	127
ENSRNOG00000013364	290
ENSRNOG00000014004	1361
ENSRNOG00000014190	254
ENSRNOG00000014240	64
ENSRNOG00000042944	4
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	19
ENSRNOG00000011568	215
ENSRNOG00000011588	801
ENSRNOG00000011622	889
ENSRNOG00000054753	0
ENSRNOG00000042309	2035
ENSRNOG00000012324	1427
ENSRNOG00000061741	19
ENSRNOG00000054845	0
ENSRNOG00000023407	11
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	36
ENSRNOG00000028357	85
ENSRNOG00000012775	564
ENSRNOG00000013331	6359
ENSRNOG00000014485	502
ENSRNOG00000014721	3
ENSRNOG00000039776	849
ENSRNOG00000015159	17
ENSRNOG00000015465	10
ENSRNOG00000028261	2726
ENSRNOG00000039743	1
ENSRNOG00000060926	1
ENSRNOG00000015676	818
ENSRNOG00000015810	20
ENSRNOG00000051415	0
ENSRNOG00000016103	356
ENSRNOG00000016372	279
ENSRNOG00000056712	0
